Number,occupation,Core_Competency,Score,Proficiency_Level,Tasks
271,Financial Brokers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
272,Financial Brokers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
273,Financial Brokers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
274,Financial Brokers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
275,Financial Brokers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
276,Financial Brokers,Writing,6,Intermediate,Write a memo to staff outlining new directives
277,Financial Brokers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
278,Financial Brokers,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
279,Financial Brokers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
280,Financial Brokers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
281,Financial Dealers,Digital engagement,8,High,"Use Enterprise Resource Planning software to monitor transactional data from multiple sources including accounting, procurement and human resources and visualise this data for a company’s strategic plan"
282,Financial Dealers,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
283,Financial Dealers,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
284,Financial Dealers,Writing,6,Intermediate,Write a memo to staff outlining new directives
285,Financial Dealers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
286,Financial Dealers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
287,Financial Dealers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
288,Financial Dealers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
289,Financial Dealers,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
290,Financial Dealers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
291,Training and Development Professionals,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
292,Training and Development Professionals,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
293,Training and Development Professionals,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
294,Training and Development Professionals,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
295,Training and Development Professionals,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
296,Training and Development Professionals,Writing,7,Intermediate,Write a detailed literature review
297,Training and Development Professionals,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
298,Training and Development Professionals,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
299,Training and Development Professionals,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
300,Training and Development Professionals,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
301,Economists,Digital engagement,8,High,"Use Enterprise Resource Planning software to monitor transactional data from multiple sources including accounting, procurement and human resources and visualise this data for a company’s strategic plan"
302,Economists,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
303,Economists,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
304,Economists,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
305,Economists,Teamwork,4,Intermediate,Cultivate a small informal network of people who may be able to advise on a project from a diverse range of perspectives.
306,Economists,Writing,7,Intermediate,Write a detailed literature review
307,Economists,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
